,first_date,final_balance,investment_strategy
0,1871-01-01,1666.9187422487023,sp500
1,1871-02-01,1765.5653868547436,sp500
2,1871-03-01,1724.7339594526818,sp500
3,1871-04-01,1736.9861822807866,sp500
4,1871-05-01,1739.0828811043555,sp500
5,1871-06-01,1730.6963999587185,sp500
6,1871-07-01,1627.155482368969,sp500
7,1871-08-01,1503.6069528134713,sp500
8,1871-09-01,1577.3776361784548,sp500
9,1871-10-01,1601.495638375977,sp500
10,1871-11-01,1655.868681606149,sp500
11,1871-12-01,1600.28627357412,sp500
12,1872-01-01,1612.1085479399917,sp500
13,1872-02-01,1590.7686621793769,sp500
14,1872-03-01,1580.779921151984,sp500
15,1872-04-01,1561.3100014772895,sp500
16,1872-05-01,1597.4351663126765,sp500
17,1872-06-01,1670.3971016684727,sp500
18,1872-07-01,1736.7433482652734,sp500
19,1872-08-01,1751.071343056479,sp500
20,1872-09-01,1779.15630351679,sp500
21,1872-10-01,1741.2675938935633,sp500
22,1872-11-01,1695.142535066906,sp500
23,1872-12-01,1718.9375382041856,sp500
24,1873-01-01,1736.4063386123805,sp500
25,1873-02-01,1709.7417320718334,sp500
26,1873-03-01,1632.480557331093,sp500
27,1873-04-01,1622.038220358727,sp500
28,1873-05-01,1608.5249034358387,sp500
29,1873-06-01,1771.122171113897,sp500
30,1873-07-01,1801.9232977908175,sp500
31,1873-08-01,1837.310370999298,sp500
32,1873-09-01,1852.987831386228,sp500
33,1873-10-01,1854.309178605763,sp500
34,1873-11-01,1911.182553334638,sp500
35,1873-12-01,1972.7897488391636,sp500
36,1874-01-01,2067.726694925798,sp500
37,1874-02-01,2063.8518628171473,sp500
38,1874-03-01,2094.412198804498,sp500
39,1874-04-01,2112.408105313294,sp500
40,1874-05-01,2041.7640413827053,sp500
41,1874-06-01,1950.4721842734234,sp500
42,1874-07-01,1992.8785065017205,sp500
43,1874-08-01,1974.5647321533886,sp500
44,1874-09-01,1846.7873855914422,sp500
45,1874-10-01,1806.7867546287644,sp500
46,1874-11-01,1803.2263451042695,sp500
47,1874-12-01,1682.3807765372842,sp500
48,1875-01-01,1681.8140639409796,sp500
49,1875-02-01,1692.0446488444363,sp500
50,1875-03-01,1693.2572733970885,sp500
51,1875-04-01,1723.1860352066071,sp500
52,1875-05-01,1695.9500971042178,sp500
53,1875-06-01,1664.5119266198978,sp500
54,1875-07-01,1641.4065779599816,sp500
55,1875-08-01,1657.0493366801124,sp500
56,1875-09-01,1582.119879654627,sp500
57,1875-10-01,1664.1415683905666,sp500
58,1875-11-01,1772.776849871703,sp500
59,1875-12-01,1920.019006969146,sp500
60,1876-01-01,1907.9333310199809,sp500
61,1876-02-01,1971.1947844161666,sp500
62,1876-03-01,2033.0400363559402,sp500
63,1876-04-01,2253.697094180003,sp500
